['$GNRMC', '112616.00', 'A', '6004.25055', 'N', '03015.62571', 'E', '0.009', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '112617.00', 'A', '6004.25056', 'N', '03015.62576', 'E', '0.015', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '112618.00', 'A', '6004.25056', 'N', '03015.62582', 'E', '0.018', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '112619.00', 'A', '6004.25057', 'N', '03015.62577', 'E', '0.002', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '112620.00', 'A', '6004.25058', 'N', '03015.62575', 'E', '0.049', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '112621.00', 'A', '6004.25058', 'N', '03015.62573', 'E', '0.040', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '112622.00', 'A', '6004.25059', 'N', '03015.62567', 'E', '0.018', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '112623.00', 'A', '6004.25059', 'N', '03015.62571', 'E', '0.022', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '112656.00', 'A', '6004.25052', 'N', '03015.62836', 'E', '0.009', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '112657.00', 'A', '6004.25054', 'N', '03015.62824', 'E', '0.076', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '112658.00', 'A', '6004.25054', 'N', '03015.62819', 'E', '0.047', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '112659.00', 'A', '6004.25056', 'N', '03015.62822', 'E', '0.030', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '112700.00', 'A', '6004.25059', 'N', '03015.62808', 'E', '0.034', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '112701.00', 'A', '6004.25060', 'N', '03015.62802', 'E', '0.057', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '112702.00', 'A', '6004.25061', 'N', '03015.62809', 'E', '0.025', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '112703.00', 'A', '6004.25065', 'N', '03015.62799', 'E', '0.012', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '112704.00', 'A', '6004.25065', 'N', '03015.62796', 'E', '0.007', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '112705.00', 'A', '6004.25064', 'N', '03015.62806', 'E', '0.007', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '112706.00', 'A', '6004.25064', 'N', '03015.62805', 'E', '0.002', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '112707.00', 'A', '6004.25062', 'N', '03015.62814', 'E', '0.007', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '112708.00', 'A', '6004.25062', 'N', '03015.62825', 'E', '0.011', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '112709.00', 'A', '6004.25063', 'N', '03015.62828', 'E', '0.015', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '112710.00', 'A', '6004.25063', 'N', '03015.62834', 'E', '0.029', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '112711.00', 'A', '6004.25062', 'N', '03015.62842', 'E', '0.011', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '112712.00', 'A', '6004.25063', 'N', '03015.62833', 'E', '0.014', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '112713.00', 'A', '6004.25063', 'N', '03015.62836', 'E', '0.015', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '112714.00', 'A', '6004.25061', 'N', '03015.62848', 'E', '0.022', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '112715.00', 'A', '6004.25059', 'N', '03015.62865', 'E', '0.018', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '113623.00', 'A', '6004.25257', 'N', '03015.64262', 'E', '0.008', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '113624.00', 'A', '6004.25256', 'N', '03015.64275', 'E', '0.041', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '113625.00', 'A', '6004.25255', 'N', '03015.64280', 'E', '0.008', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '113626.00', 'A', '6004.25253', 'N', '03015.64287', 'E', '0.018', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '113627.00', 'A', '6004.25251', 'N', '03015.64296', 'E', '0.067', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '113628.00', 'A', '6004.25249', 'N', '03015.64309', 'E', '0.010', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '113629.00', 'A', '6004.25245', 'N', '03015.64333', 'E', '0.001', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '113630.00', 'A', '6004.25239', 'N', '03015.64328', 'E', '0.019', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '113631.00', 'A', '6004.25231', 'N', '03015.64337', 'E', '0.017', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '113632.00', 'A', '6004.25224', 'N', '03015.64346', 'E', '0.032', '', '250525', '', '', 'D*6E\r\n']
['$GNRMC', '113633.00', 'A', '6004.25218', 'N', '03015.64348', 'E', '0.042', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '113634.00', 'A', '6004.25211', 'N', '03015.64363', 'E', '0.008', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '113635.00', 'A', '6004.25208', 'N', '03015.64359', 'E', '0.013', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '113636.00', 'A', '6004.25206', 'N', '03015.64361', 'E', '0.039', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '113637.00', 'A', '6004.25207', 'N', '03015.64359', 'E', '0.044', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '113638.00', 'A', '6004.25207', 'N', '03015.64363', 'E', '0.029', '', '250525', '', '', 'D*68\r\n']
